11 : 15 am tomorrow reminder,reminder.create_single_reminder,reminder.start_time->11 : 15 am;reminder.start_date->tomorrow;
11:15 am tomorrow reminder,reminder.create_single_reminder,reminder.start_time->11:15 am;reminder.start_date->tomorrow;
2 or 3 minutes to walk that block ?,None,
271 timetable please,None,
4 : 30 tue doc reminder,reminder.create_single_reminder,reminder.start_time->4 : 30;reminder.start_date->tue;reminder.reminder_text->doc;
4:30 tue doc reminder,reminder.create_single_reminder,reminder.start_time->4:30;reminder.start_date->tue;reminder.reminder_text->doc;
897 pancake house on Tuesday 1 : 00 pm please,Calendar.Create_Calendar_Entry,calendar.start_date->897;calendar.implicit_location->pancake house;calendar.start_time->1 : 00 pm;
a chinese song for me please,None,
A new note of name Business Solutions,note.create_note,note.title->Business Solutions;
A new note please,note.create_note,
A reminder to recall calling Carlos,reminder.create_single_reminder,reminder.reminder_text->recall calling Carlos;
A yes from me,None,
access phone settings and turn off speaker,communication.speakerphone_off,communication.audio_device_type->speaker;
action games not nintendo please,None,
activate bluetooth please,OnDevice.Settings.On,ondevice.setting_type->bluetooth;
activate call forwarding,Communication_Forwarding_Enable,
activate please,None,
activate speaker phone,Communication_EnableSpeaker,communication.audio_device_type->speaker phone;
activate star or hash key,communication.press_key,communication.key->star;
add 2856589355 to contacts,AddContacts,
Add a new event on 27 - Apr,Calendar.Create_Calendar_Entry,calendar.start_date->27;calendar.end_date->Apr;
Add a new task finish assignment,None,
add a task to wunderlist,None,
Add an event to read about adam lambert news,None,
Add an event to visit 209 Nashville Gym,Calendar.Create_Calendar_Entry,calendar.title->visit 209 Nashville Gym;
add buy milk to wunderlist,None,
Add Carolina to my contact list,AddContacts,
add daily weight into fitbit,None,
add Fred George to onenote,None,
add friends to party list in memos,None,
Add imax theater to my upcoming events,Calendar.Create_Calendar_Entry,calendar.title->imax theater;
add item to onenote inbox,None,
add joseph to phone contacts,AddContacts,
add mark to guest list,note.create_note,note.title->mark to guest list;
add mohit to contacts,AddContacts,
add my current location as home,Places_AddFavourite,places.place_type->home;
Add my wife to speed dial,communication.set_speeddial,communication.relationship_name->wife;
add nickname dad to contact Max,Communication_AssignName,communication.relationship_name->dad;communication.contact_name->Max;
add nickname mom to Carol Marco,Communication_AssignName,communication.relationship_name->mom;communication.contact_name->Carol Marco;
add nickname of son,Communication_AssignName,communication.relationship_name->son;
Add oatmeal to shopping list .,mystuff.find_my_stuff,mystuff.keyword->shopping list;
add tasks to wunderlist,None,
add this location to my favourite,Places_AddFavourite,
add to fitbit diary,None,
Add to my calender daddy daughter dance at meadowbrook,Calendar.Create_Calendar_Entry,calendar.title->daddy daughter dance;calendar.implicit_location->meadowbrook;
add to wish - list computer ram,note.create_note,note.note_text->computer ram;
add to wunderlist review notes from ibp,mystuff.find_my_stuff,mystuff.keyword->wunderlist review;mystuff.data_type->notes;
add volume please,None,
Add weight please,None,
address to city of atlanta corrections,GetAddress,AbsoluteLocation->city of atlanta;places.place_type->corrections;
affordable insurance Washington Ave Albany NY 12222 please,FindPlaces,places.place_name->affordable insurance;AbsoluteLocation->Washington Ave Albany NY 12222;
Alright I am confirming,None,
Am i free to be with friends saturday ?,Calendar.Check_availability,calendar.title->be with friends;calendar.start_date->saturday;
Am i free to be with friends saturday?,Calendar.Check_availability,calendar.title->be with friends;calendar.start_date->saturday;
am i set up for call forwarding right now ?,communication.forwarding_status,
Andrew Carlos address lincoln nebraska,None,
answer call with a text,Comunication_IgnoreIncoming,
answer text from mom,communication.send_text,communication.from_relationship_name->mom;
Answer the phone,Communication_AnswerPhone,
answer using hands - free,Communication_AnswerPhone,communication.audio_device_type->hands - free;
answer using hands-free,Communication_AnswerPhone,communication.audio_device_type->hands-free;
any accidents today on 202,Places.Check_Accident,places.date->today;AbsoluteLocation->202;
any birthdays next month i should know about ?,Calendar.Find_Calendar_Entry,calendar.title->birthdays;calendar.start_date->next month;
any fast food places within 25 minutes of here,FindPlaces,places.cuisine->fast food;places.travel_time->within 25 minutes;
any of my contacts online ?,None,
Any suggestions for what to eat for dinner ?,None,
application bar please,None,
Appointment extension request,Calendar.Change_Calendar_Entry,
Appointment with Johnson needs to be next week,Calendar.Change_Calendar_Entry,calendar.title->Appointment with Johnson;calendar.start_date->next week;
are buses or trains running from the stadium at the end of the game ?,Places.Get_Public_Transport_Schedule,places.transportation_type->buses;places.from_place_type->stadium;
are reservations accepted at any of the german restaurants around here ?,Places_CreateReservation,places.amenities->reservations accepted;places.cuisine->german;places.place_type->restaurants;places.nearby->around;
are reservations available for The nearby Korean restaurant ?,Places_CreateReservation,places.amenities->reservations;places.nearby->nearby;places.cuisine->Korean;places.place_type->restaurant;
Are steak houses requiring reservations ?,Places_CreateReservation,places.place_type->steak houses;places.amenities->reservations;
Are there car accidents in springdale arkansas today ?,Places.Check_Accident,AbsoluteLocation->springdale arkansas;places.date->today;
are you listening ?,None,
are you listening to me,None,
ask for hash key,communication.press_key,communication.key->hash key;
aspen to Sopris Creek Rd please,GetRoute,places.from_absolute_location->aspen;AbsoluteLocation->Sopris Creek Rd;
At grocery list add milk,note.create_note,note.title->grocery list;note.note_text->milk;
avoid construction to new york prime,GetRoute,places.avoid_route->construction;places.place_name->new york prime;
avoid tolls direct me to mcdonalds,GetRoute,places.avoid_route->tolls;places.place_name->mcdonalds;
b forty nine bus map brooklyn,ShowMap,places.public_transportation_route->b forty nine;places.transportation_type->bus;AbsoluteLocation->brooklyn;
bayonne yellow cab please,Places.Book_Public_Transport,AbsoluteLocation->bayonne;places.transportation_company->yellow cab;
bbq near olympia wa Please,FindPlaces,places.cuisine->bbq;places.nearby->near;AbsoluteLocation->olympia wa;
be quiet yes i need the news channel two,None,
bend oregon exotic restaurants please,FindPlaces,AbsoluteLocation->bend oregon;places.atmosphere->exotic;places.place_type->restaurants;
best breakfast by arden way please,None,
bmw bellevue please,FindPlaces,places.product->bmw;AbsoluteLocation->bellevue;
book 5 tickets city game,None,
book 5 tickets for the city transit .,Places.Book_Public_Transport,places.transportation_type->city transit;
Book amc theater pekin tickets,None,
book an uber x to pick me up from the farmers market in olympia and take me to 795 E DRAGRAM TUCSON,Places.Book_Public_Transport,places.transportation_company->uber x;places.place_type->farmers market;AbsoluteLocation->olympia;
Book dinner at KFC at eight pm,Calendar.Create_Calendar_Entry,calendar.title->dinner;calendar.implicit_location->KFC;calendar.start_time->eight pm;
Book for me amc tickets,None,
Book for me lana del rey tickets in west palm,None,
Book for me tickets to lollapalooza in chicago,None,
book me a seat on a bus leaving nyc to boston .,Places.Book_Public_Transport,places.transportation_type->bus;places.from_absolute_location->nyc;AbsoluteLocation->boston;
book me a ticket for jurassic world,None,
book me on an amtrak from here to dc,Places.Book_Public_Transport,places.transportation_company->amtrak;AbsoluteLocation->dc;
book movie ticket near my location,None,
Book the ride that is the cheapest .,Places.Book_Public_Transport,places.price_range->cheapest;
book tickets for captain america,None,
Book Uber Lux to LAX,Places.Book_Public_Transport,places.transportation_company->Uber Lux;places.place_name->LAX;
boost headphones volume,None,
boudoir photo shoot ballard,FindPlaces,places.service_provided->boudoir photo shoot;AbsoluteLocation->ballard;
breakfast all day seattle,FindPlaces,places.amenities->breakfast all day;AbsoluteLocation->seattle;
breakfast restaurants within ten miles of my location please,FindPlaces,places.meal_type->breakfast;places.place_type->restaurants;places.distance->within ten miles;
burgers seafood late dinner ?,FindPlaces,places.cuisine->burgers seafood;places.meal_type->dinner;
bus options from the space needle in seattle to the international district at 7pm,GetRoute,places.transportation_type->bus;places.from_place_name->space needle;AbsoluteLocation->seattle;places.time->7pm;
bus timings for two forty six,Places.Get_Public_Transport_Schedule,places.transportation_type->bus;places.public_transportation_route->two forty six;
buy 2 tickets for the louvre museum,None,
buy 2 tickets to the seattle storm game at key arena this Monday,None,
buy 4 tickets to the billy joel concert at safeco field,None,
buy concert tickets for bill cosby,None,
cafes near me please,FindPlaces,places.place_type->cafes;places.nearby->near;
Calendar cancel Friday with Eddy,Calendar.Delete_Calendar_Entry,calendar.start_date->Friday;calendar.contact_name->Eddy;
Calendar for november 1948,None,
Call (206 ) 352-852,MakeCall,
CALL 631-6541,MakeCall,communication.phone_number->631-6541;
call a cab to go to camels back park on weekend,Places.Book_Public_Transport,places.transportation_type->cab;places.place_name->camels back park;places.date->weekend;
call at and t company on speaker,Places.Make_call,places.place_name->at and t company;places.audio_device_type->speaker;
call california pizza kitchen using skype,Places.Make_call,places.place_name->california pizza kitchen;places.source_platform->skype;
call Candy mobile,MakeCall,communication.contact_name->Candy;communication.destination_platform->mobile;
call Carlston tomorrow,MakeCall,communication.contact_name->Carlston;
call cbk cell,MakeCall,communication.contact_name->cbk;communication.destination_platform->cell;
Call dad Mike,MakeCall,communication.relationship_name->dad;communication.contact_name->Mike;
call five on the skype,MakeCall,communication.speed_dial->five;communication.source_platform->skype;
call forward home,Communication_Forwarding_Enable,communication.destination_platform->home;
call forward off,Communication_Forwarding_Disable,
call forward setting . thanks,communication.forwarding_status,
call forwarding off,Communication_Forwarding_Disable,
call forwarding on,Communication_Forwarding_Enable,
call four two six seven nine one,MakeCall,communication.phone_number->four two six seven nine one;
call Fred from my cell,MakeCall,communication.contact_name->Fred;communication.source_platform->cell;
call Josh voicemail,communication.call_voice_mail,communication.contact_name->Josh;
Call last number dialed,Communication_Redial,
Call mamma,MakeCall,communication.relationship_name->mamma;
call Manuel Cal,MakeCall,communication.contact_name->Manuel Cal;
call Marry in thirty minutes,MakeCall,communication.contact_name->Marry;
call Mike voicemail,communication.call_voice_mail,
call Miranda at home,MakeCall,communication.contact_name->Miranda;communication.destination_platform->home;
call pizza skype,Places.Make_call,places.source_platform->skype;
call radioshack,Places.Make_call,places.place_name->radioshack;
call redial,Communication_Redial,
Call sally,MakeCall,communication.contact_name->sally;
